Month,Year,County,Med_Sales,Rec_Sales,Med_Blank_Code,Rec_Blank_Code
3,2014,Gilpin,33416,131685,,
3,2014,Grand,,,NR,NL
3,2014,Gunnison,,,NR,NR
3,2014,Hinsdale,,,NL,NL
3,2014,Huerfano,,,NL,NL
3,2014,Jackson,,,NL,NL
3,2014,Jefferson,2014285,1056723,,
3,2014,Kiowa,,,NL,NL
3,2014,Kit Carson,,,NL,NL
3,2014,Lake,,,NL,NR
3,2014,La Plata,587114,,,NL
3,2014,Larimer,1234344,,,NL
3,2014,Las Animas,,,NL,NL
3,2014,Lincoln,,,NL,NL
3,2014,Logan,,,NL,NL
3,2014,Mesa,,,NR,NL
3,2014,Mineral,,,NL,NL
3,2014,Moffat,,,NR,NL
3,2014,Montezuma,,,NR,NL
3,2014,Montrose,,,NR,NL
3,2014,Morgan,,,NL,NL
3,2014,Otero,,,NL,NL
3,2014,Ouray,,,NR,NR
3,2014,Park,,,NR,NR
3,2014,Phillips,,,NL,NL
3,2014,Pitkin,157541,,,NR
3,2014,Prowers,,,NL,NL
3,2014,Pueblo,375711,1196018,,
3,2014,Rio Blanco,,,NL,NL
3,2014,Rio Grande,,,NL,NL
3,2014,Routt,214650,,,NR
3,2014,Saguache,,,NR,NL
3,2014,San Juan,,,NL,NL
3,2014,San Miguel,75215,319620,,
3,2014,Sedgwick,,,NR,NL
3,2014,Summit,253937,1427935,,
3,2014,Teller,,,NR,NL
3,2014,Washington,,,NL,NL
3,2014,Weld,580961,,,NR
3,2014,Yuma,,,NL,NL
3,2015,Adams,479975,1497796,,
3,2015,Alamosa,,,NR,NL
3,2015,Arapahoe,1562845,2615133,,
3,2015,Archuleta,,,NR,NR
3,2015,Baca,,,NL,NL
3,2015,Bent,,,NL,NL
3,2015,Boulder,2525620,3856723,,
3,2015,Broomfield,,,NL,NL
3,2015,Chaffee,,,NR,NR
3,2015,Cheyenne,,,NL,NL
3,2015,Clear Creek,82344,485304,,
3,2015,Conejos,,,NL,NL
3,2015,Costilla,,,NR,NR
3,2015,Crowley,,,NL,NL
3,2015,Custer,,,NL,NL
3,2015,Delta,,,NL,NL
3,2015,Denver,14406613,17121933,,
3,2015,Dolores,,,NL,NL
3,2015,Douglas,,,NL,NL
3,2015,Eagle,337864,862396,,
3,2015,Elbert,,,NL,NL
3,2015,El Paso,6380331,,,NR
3,2015,Fremont,194875,,,NL
3,2015,Garfield,379738,642659,,
3,2015,Gilpin,,117004,NR,
3,2015,Grand,,,NR,NR
3,2015,Gunnison,,296334,NR,
3,2015,Hinsdale,,,NL,NL
3,2015,Huerfano,,,NL,NL
3,2015,Jackson,,,NL,NL
3,2015,Jefferson,1861813,2224610,,
3,2015,Kiowa,,,NL,NL
3,2015,Kit Carson,,,NL,NL
3,2015,Lake,,,NL,NR
3,2015,La Plata,1017530,1020552,,
3,2015,Larimer,1320406,1943174,,
3,2015,Las Animas,,415008,NR,
3,2015,Lincoln,,,NL,NL
